datapoint_id,type,top1_rmsd,top5_mean_rmsd,top5_min_rmsd,rmsd_under_2A,rmsd_model_0,rmsd_model_1,rmsd_model_2,rmsd_model_3,rmsd_model_4
2PIO_ORTHOSTERIC_DHT,orthosteric,0.16677577809597346,0.17008535498398242,0.15426417125218952,True,0.16677577809597346,0.1584155855634369,0.15426417125218952,0.1718953646970996,0.19907587531121274
3ZCW_ORTHOSTERIC_ADP,orthosteric,0.33161811257110274,0.3230651810477353,0.24546966781613377,True,0.33161811257110274,0.35485589000699913,0.32221760032332925,0.24546966781613377,0.36116463452111147
2GM1_ALLOSTERIC_2AZ,allosteric,0.3408647935597255,0.37996380819372466,0.3408647935597255,True,0.3408647935597255,0.422949897556718,0.38751319233490744,0.36292592623961795,0.3855652312776543
1YV3_ALLOSTERIC_BIT,allosteric,0.3431398842054892,0.3440008055957633,0.28020736338850616,True,0.3431398842054892,0.3773701264985048,0.3550074450179411,0.36427920886837517,0.28020736338850616
1V4S_ALLOSTERIC_MRK,allosteric,0.3456073480176736,0.3639726384067681,0.32309568751251067,True,0.3456073480176736,0.32309568751251067,0.36379140537815324,0.3837259101205475,0.40364284100495523
3K5V_ORTHOSTERIC_STI,orthosteric,0.351683491134125,0.4079613877336434,0.31910842246140825,True,0.351683491134125,0.31910842246140825,0.5127571555523313,0.4080576403939924,0.44820022912635993
3BZ3_ORTHOSTERIC_YAM,orthosteric,0.3921549948532268,0.4103619125598218,0.35253290514978874,True,0.3921549948532268,0.49543499134729346,0.3666803690517289,0.44500630239707084,0.35253290514978874
5APH_ORTHOSTERIC_VYI,orthosteric,0.4148134723878225,0.7159949938077818,0.4148134723878225,True,0.4148134723878225,0.4938843194334376,0.8698848518762051,0.776494991417277,1.024897333924167
4YPQ_ALLOSTERIC_4F1,allosteric,0.43238991041491126,0.3192614173033033,0.24903886254717322,True,0.43238991041491126,0.2919080947012734,0.2834312766095477,0.33953894224361103,0.24903886254717322
1MMN_ORTHOSTERIC_ANP,orthosteric,0.44164917002363335,0.5712095553214704,0.44164917002363335,True,0.44164917002363335,0.5561712920168251,0.6974453190038655,0.5622889449085964,0.5984930506544316
3MVH_ORTHOSTERIC_WFE,orthosteric,0.5802666173505912,0.5615830968088572,0.40587630468095204,True,0.5802666173505912,0.6710071927525916,0.40587630468095204,0.46999472806982645,0.6807706411903245
3PE2_ORTHOSTERIC_E1B,orthosteric,0.5850381189696843,1.3473698026671692,0.5850381189696843,True,0.5850381189696843,1.5480166483367384,1.4917560129200529,1.5444586189865654,1.5675796141228053
3I81_ORTHOSTERIC_EBI,orthosteric,0.6059868812877608,0.5585451762445858,0.4421569210678776,True,0.6059868812877608,0.5761033609503408,0.4536721175535572,0.4421569210678776,0.7148066003633923
2AX9_ORTHOSTERIC_BHM,orthosteric,0.6747370199383775,0.612434492000767,0.5616374389144113,True,0.6747370199383775,0.5855102231489415,0.6754081874020699,0.5648795906000352,0.5616374389144113
3KF7_ORTHOSTERIC_L9G,orthosteric,0.7146080423706319,0.7282651244324099,0.6878459509998857,True,0.7146080423706319,0.7046412407862993,0.7802795522151618,0.7539508357900702,0.6878459509998857
3FGU_ORTHOSTERIC_ANP,orthosteric,0.7826483523080436,0.7958025814248448,0.5324910353736949,True,0.7826483523080436,0.5324910353736949,0.6633476231278314,0.8604398451364921,1.1400860511781619
5MO4_ORTHOSTERIC_NIL,orthosteric,0.8577546109107591,0.7717888035564087,0.6833063504095327,True,0.8577546109107591,0.8088817206195589,0.8122766611156512,0.6833063504095327,0.6967246747265413
2E9N_ORTHOSTERIC_76A,orthosteric,0.908595607704308,0.9403891992729039,0.7957941515876419,True,0.908595607704308,0.9956236927474075,0.7957941515876419,0.9429910037568556,1.0589415405683062
5MO4_ALLOSTERIC_AY7,allosteric,0.9766524158011332,1.041828670000123,0.8356903815856039,True,0.9766524158011332,1.4220154108307888,0.9468129249398695,0.8356903815856039,1.0279722168432188
1AXB_ORTHOSTERIC_FOS,orthosteric,1.0173585983306357,0.9663675810122644,0.9049701232847902,True,1.0173585983306357,1.0815468559950596,0.9065545679316174,0.9214077595192196,0.9049701232847902
1BZC_ORTHOSTERIC_TPI,orthosteric,1.187368517645641,1.1421745536286343,0.8360309397649341,True,1.187368517645641,1.0142128314370704,0.8360309397649341,1.1578040460701466,1.5154564332253797
1JQH_ORTHOSTERIC_ANP,orthosteric,1.3543291717841999,1.33321922394632,1.2566923159274326,True,1.3543291717841999,1.430631849009489,1.2566923159274326,1.2730219558295346,1.3514208271809447
4IZY_ORTHOSTERIC_1J2,orthosteric,1.7468914544137102,1.842998580057786,1.7468914544137102,True,1.7468914544137102,1.8597413725729797,1.802134621347342,1.8237389713091754,1.982486480645723
1PZP_ALLOSTERIC_FTA,allosteric,2.091648137806415,3.1030251433798965,1.7012275064665932,True,2.091648137806415,1.7012275064665932,4.208529249621856,1.7055824428561865,5.808138380148432
4EJN_ALLOSTERIC_0R4,allosteric,2.1194080817373697,2.0711539456425703,1.7216346907682418,True,2.1194080817373697,2.169937424406581,2.191256020269682,1.7216346907682418,2.153533511030978
3LW0_ALLOSTERIC_CCX,allosteric,2.455440436688205,2.350159254095183,2.1953942163549476,False,2.455440436688205,2.213082760235101,2.1953942163549476,2.3245796785742163,2.562299178623445
3NEW_ALLOSTERIC_3NE,allosteric,2.5888261277817772,2.887021702094926,2.5441138882609566,False,2.5888261277817772,3.4613228385852497,2.5441138882609566,2.962070113318444,2.8787755425282007
3NXU_ORTHOSTERIC_RIT,orthosteric,3.1009587418529208,3.8728814439542645,3.1009587418529208,False,3.1009587418529208,3.2130245267463295,4.806582256459913,3.341358664530234,4.902483030181926
3WPN_ALLOSTERIC_B4S,allosteric,3.3315201396982306,15.688119899207427,2.8075283588064406,False,3.3315201396982306,2.8075283588064406,23.92391414310629,24.14109666231258,24.236540192113594
2YLO_ALLOSTERIC_YLO,allosteric,4.194351013903185,4.572029191673964,3.3540065358981654,False,4.194351013903185,3.3540065358981654,4.927752819816227,5.275052060185941,5.1089835285663
1T49_ALLOSTERIC_892,allosteric,6.333511053672762,14.784737763560887,6.333511053672762,False,6.333511053672762,7.718948353435171,12.350682447448506,32.87826998646517,14.642276976782828
6FVF_ALLOSTERIC_503,allosteric,15.882146748340539,16.425170483975098,15.882146748340539,False,15.882146748340539,15.969744876236424,16.145064677013316,16.018405284634074,18.110490833651127
4EBV_ALLOSTERIC_0O7,allosteric,16.03978225558975,15.980479572734584,15.82784197071317,False,16.03978225558975,15.945252517385244,15.82784197071317,16.039306380581273,16.050214739403483
5A1R_ALLOSTERIC_STR,allosteric,17.85565391229442,15.903365016531646,14.18204295453948,False,17.85565391229442,14.770413846692708,14.538843618233907,14.18204295453948,18.16987075089771
2YHD_ALLOSTERIC_AV6,allosteric,19.571220459637235,20.855523845512295,19.493147305914984,False,19.571220459637235,19.493147305914984,19.578692861579572,21.219255561885575,24.415303038544103
